Entry Time,Exit Time,Type,Entry Price,Exit Price,PnL
2025-12-02 00:00:00,2025-12-02 00:00:00,SHORT(MIS),159.0,157.87,7106.918238993682
2025-12-03 00:00:00,2025-12-03 00:00:00,SHORT(MIS),157.24,155.16,13322.19785001984
2025-12-04 00:00:00,2025-12-04 00:00:00,SHORT(MIS),155.2,154.15,6903.676365292828
2025-12-05 00:00:00,2025-12-05 00:00:00,SHORT(MIS),154.16,151.58,17193.296604385665
2025-12-08 00:00:00,2025-12-08 00:00:00,SHORT(MIS),151.56,146.85,32460.529687691
2025-12-09 00:00:00,2025-12-09 00:00:00,SHORT(MIS),146.3,151.65,-39383.99460214042
2025-12-18 00:00:00,2025-12-18 00:00:00,SHORT(MIS),150.98,150.01,6666.277291163824
2025-12-19 00:00:00,2025-12-19 00:00:00,SHORT(MIS),150.01,152.95,-20466.30604773077
2025-12-19 00:00:00,2025-12-23 00:00:00,LONG(CNC),152.95,169.3,109442.121180703
2025-12-23 00:00:00,2025-12-26 00:00:00,LONG(CNC),169.3,178.71,62987.789621432006
2025-12-26 00:00:00,2025-12-29 00:00:00,LONG(CNC),178.71,172.77,-39760.623841796616
2025-12-31 00:00:00,2026-01-01 09:45:00,LONG(CNC),177.65,176.56,-7095.718276157273
2026-01-01 10:30:00,2026-01-01 12:15:00,LONG(CNC),176.79,177.32,3445.722987488464
2026-01-01 12:45:00,2026-01-01 12:45:00,SHORT(MIS),177.13,177.5,-2408.085012205516
2026-01-01 13:00:00,2026-01-01 13:00:00,SHORT(MIS),177.5,177.33,1101.8047681577432
2026-01-02 10:15:00,2026-01-02 11:00:00,LONG(CNC),180.55,179.4,-7334.494310925499
2026-01-02 11:15:00,2026-01-02 12:00:00,LONG(CNC),180.1,179.97,-825.8941955889128
2026-01-02 12:30:00,2026-01-02 12:30:00,SHORT(MIS),179.95,179.59,2287.34581045371
2026-01-02 13:00:00,2026-01-02 13:00:00,SHORT(MIS),179.5,179.31,1212.657867312827
2026-01-02 15:00:00,2026-01-02 15:00:00,SHORT(MIS),179.83,179.2,4017.787854371092
2026-01-05 09:45:00,2026-01-05 09:45:00,SHORT(MIS),178.2,177.73,3035.4114176500084
2026-01-05 13:45:00,2026-01-05 13:45:00,SHORT(MIS),177.3,177.1,1301.6451452438457
2026-01-05 14:00:00,2026-01-05 14:00:00,SHORT(MIS),177.11,176.86,1630.6392445426775
2026-01-06 09:45:00,2026-01-06 10:00:00,LONG(CNC),179.1,178.04,-6846.740078097495
2026-01-06 10:45:00,2026-01-06 10:45:00,SHORT(MIS),177.7,177.27,2782.765364069707
2026-01-06 11:15:00,2026-01-06 11:15:00,SHORT(MIS),177.18,176.93,1626.5615912269013
2026-01-06 11:45:00,2026-01-06 11:45:00,SHORT(MIS),176.92,176.66,1696.5004298928002
2026-01-07 09:30:00,2026-01-07 09:30:00,SHORT(MIS),178.0,177.41,3832.016167661343
2026-01-07 09:15:00,2026-01-07 10:30:00,LONG(CNC),177.93,177.1,-5410.798637510236
2026-01-07 11:00:00,2026-01-07 11:00:00,SHORT(MIS),177.69,177.91,-1429.4255293310305
2026-01-07 12:15:00,2026-01-07 12:15:00,SHORT(MIS),177.42,177.24,1169.8595721570487
2026-01-07 13:45:00,2026-01-07 13:45:00,SHORT(MIS),177.17,177.24,-456.04956322749223
2026-01-07 14:00:00,2026-01-07 14:00:00,SHORT(MIS),177.16,177.05,716.4066010733509
2026-01-08 11:30:00,2026-01-08 11:30:00,SHORT(MIS),172.6,173.01,-2742.4909538943675
2026-01-08 11:45:00,2026-01-08 11:45:00,SHORT(MIS),173.05,171.94,7387.893873329993
2026-01-08 13:45:00,2026-01-08 14:00:00,LONG(CNC),172.3,171.42,-5920.296807588223



